,Site,Petri,Dateof,PetriDish,PaperFilter,PetriPlus,PetriDishPlus,PetridishPlus,FilterAndsample,SampleWeight,SampleWeight.1,Vol,Vol.1,mgL,mgL.1,Con,Temp,Level,pH,Date,,,
1,Blank,3758,"Sept.30,2003",1.0041,0.1049,1.109,1.1086,1.1073,0.1032,-0.4,-1.7,550,0.55,-0.727272727,-3.090909091,NA,NA,NA,NA,9/30/2003,,,
2,MQ1,3759,"Sept.30,2003",1.0031,0.1051,1.1082,1.1172,1.1146,0.1115,9,6.4,500,0.5,18,12.8,NA,NA,NA,NA,9/30/2003,,,
3,MQ2,3760,"Sept.30,2003",1.0021,0.1063,1.1084,1.1145,1.112,0.1099,6.1,3.6,830,0.83,7.34939759,4.337349398,NA,NA,NA,NA,9/30/2003,,,
4,MQ3,3761,"Sept.30,2003",1.0025,0.1037,1.1062,1.1088,1.1069,0.1044,2.6,0.7,750,0.75,3.466666667,0.933333333,NA,NA,NA,NA,9/30/2003,,,
5,RCB,3762,"Sept.30,2003",1.0041,0.1032,1.1073,1.1072,1.1056,0.1015,-0.1,-1.7,500,0.5,-0.2,-3.4,NA,NA,NA,NA,9/30/2003,,,
6,TCB,3763,"Sept.30,2003",1.0028,0.1027,1.1055,1.1092,1.1042,0.1014,3.7,-1.3,280,0.28,13.21428571,-4.642857143,NA,NA,NA,NA,9/30/2003,,,
7,MPR,3764,"Sept.30,2003",1.001,0.1056,1.1066,1.1069,1.1056,0.1046,0.3,-1,600,0.6,0.5,-1.666666667,NA,NA,NA,NA,9/30/2003,,,
8,MG,3765,"Sept.30,2003",1.0009,0.1041,1.105,1.1052,1.1036,0.1027,0.2,-1.4,740,0.74,0.27027027,-1.891891892,NA,NA,NA,NA,9/30/2003,,,
9,RS,3766,"Sept.30,2003",1.004,0.1036,1.1076,1.1093,1.1076,0.1036,1.7,0,730,0.73,2.328767123,0,NA,NA,NA,NA,9/30/2003,,,
10,Q. Sonadora,3767,"Sept.30,2003",1.0006,0.1041,1.1047,1.1098,1.1064,0.1058,5.1,1.7,690,0.69,7.391304348,2.463768116,NA,NA,NA,NA,9/30/2003,,,
11,Q. Prieta,3768,"Sept.30,2003",0.9989,0.1032,1.1021,1.1102,1.1072,0.1083,8.1,5.1,550,0.55,14.72727273,9.272727273,NA,NA,NA,NA,9/30/2003,,,
12,Q. T1,3769,"Sept.30,2003",0.9995,0.1042,1.1037,1.1092,1.1069,0.1074,5.5,3.2,640,0.64,8.59375,5,NA,NA,NA,NA,9/30/2003,,,
13,Q. Guabá,3770,"Sept.30,2003",1.0014,0.1077,1.1091,1.1307,1.1254,0.124,21.6,16.3,280,0.28,77.14285714,58.21428571,NA,NA,NA,NA,9/30/2003,,,
14,Q. Icacos,3773,"Sept.30,2003",0.9975,0.1045,1.102,1.1129,1.1098,0.1123,10.9,7.8,550,0.55,19.81818182,14.18181818,NA,NA,NA,NA,9/30/2003,,,
15,RES4,3774,"Sept.30,2003",0.9967,0.106,1.1027,1.1055,1.1037,0.107,2.8,1,750,0.75,3.733333333,1.333333333,NA,NA,NA,NA,9/30/2003,,,
16,RCEV,3775,"Sept.30,2003",0.9951,0.1052,1.1003,1.1019,1.0995,0.1044,1.6,-0.8,650,0.65,2.461538462,-1.230769231,NA,NA,NA,NA,9/30/2003,,,
17,WDEV,3776,"Sept.30,2003",0.9961,0.1052,1.1013,1.1038,1.1017,0.1056,2.5,0.4,1000,1,2.5,0.4,NA,NA,NA,NA,9/30/2003,,,
18,TCB-A,3771,"Sept.30,2003",0.9963,0.1042,1.1005,1.1351,1.1059,0.1096,34.6,5.4,200,0.2,173,27,NA,NA,NA,NA,9/30/2003,,,
19,QG-A,3772,"Sept.30,2003",1.0043,0.1049,1.1092,1.1312,1.1266,0.1223,22,17.4,200,0.2,110,87,NA,NA,NA,NA,9/30/2003,,,
20,Blank,3777,"Oct.7,2003",1.0008,0.1044,1.1052,1.1045,1.1035,0.1027,-0.7,-1.7,450,0.45,-1.555555556,-3.777777778,NA,NA,NA,NA,10/7/2003,,,
21,MQ1,3778,"Oct.7,2003",1.0033,0.1061,1.1094,1.1169,1.1149,0.1116,7.5,5.5,750,0.75,10,7.333333333,NA,NA,NA,NA,10/7/2003,,,
22,MQ2,3779,"Oct.7,2003",1.0016,0.103,1.1046,1.1092,1.1072,0.1056,4.6,2.6,980,0.98,4.693877551,2.653061224,NA,NA,NA,NA,10/7/2003,,,
23,MQ3,3780,"Oct.7,2003",0.9989,0.1062,1.1051,1.1065,1.1045,0.1056,1.4,-0.6,750,0.75,1.866666667,-0.8,NA,NA,NA,NA,10/7/2003,,,
24,RCB,3781,"Oct.7,2003",1.0041,0.105,1.1091,1.1087,1.1069,0.1028,-0.4,-2.2,400,0.4,-1,-5.5,NA,NA,NA,NA,10/7/2003,,,
25,TCB,3782,"Oct.7,2003",0.9988,0.1017,1.1005,1.1063,1.1003,0.1015,5.8,-0.2,350,0.35,16.57142857,-0.571428571,NA,NA,NA,NA,10/7/2003,,,
26,MPR,3783,"Oct.7,2003",0.9983,0.1065,1.1048,1.1052,1.1042,0.1059,0.4,-0.6,970,0.97,0.412371134,-0.618556701,NA,NA,NA,NA,10/7/2003,,,
27,MG,3784,"Oct.7,2003",0.9985,0.1046,1.1031,1.1029,1.102,0.1035,-0.2,-1.1,1000,1,-0.2,-1.1,NA,NA,NA,NA,10/7/2003,,,
28,RS,3785,"Oct.7,2003",0.9968,0.1023,1.0991,1.1002,1.0991,0.1023,1.1,0,1000,1,1.1,0,NA,NA,NA,NA,10/7/2003,,,
29,Q. Sonadora,3786,"Oct.7,2003",0.9951,0.1055,1.1006,1.1005,1.0993,0.1042,-0.1,-1.3,1000,1,-0.1,-1.3,NA,NA,NA,NA,10/7/2003,,,
30,Q. Prieta,3787,"Oct.7,2003",0.9949,0.1025,1.0974,1.0992,1.0979,0.103,1.8,0.5,500,0.5,3.6,1,NA,NA,NA,NA,10/7/2003,,,
31,Q. T1,3788,"Oct.7,2003",0.9943,0.1021,1.0964,1.1021,1.0998,0.1055,5.7,3.4,740,0.74,7.702702703,4.594594595,NA,NA,NA,NA,10/7/2003,,,
32,Q. Guabá,3789,"Oct.7,2003",0.9972,0.1054,1.1026,1.1092,1.1064,0.1092,6.6,3.8,1000,1,6.6,3.8,NA,NA,NA,NA,10/7/2003,,,
33,Q. Icacos,3790,"Oct.7,2003",0.9971,0.1051,1.1022,1.1052,1.1033,0.1062,3,1.1,900,0.9,3.333333333,1.222222222,NA,NA,NA,NA,10/7/2003,,,
34,RES4,3791,"Oct.7,2003",0.9976,0.1062,1.1038,1.1038,1.1024,0.1048,-2.22E-13,-1.4,1000,1,-2.22E-13,-1.4,NA,NA,NA,NA,10/7/2003,,,
35,RCEV,3792,"Oct.7,2003",1.0053,0.1055,1.1108,1.1105,1.109,0.1037,-0.3,-1.8,200,0.2,-1.5,-9,NA,NA,NA,NA,10/7/2003,,,
36,WDEV,3793,"Oct.7,2003",1.0019,0.1049,1.1068,1.1066,1.1056,0.1037,-0.2,-1.2,260,0.26,-0.769230769,-4.615384615,NA,NA,NA,NA,10/7/2003,,,
37,Blank,3794,"Oct.14,2003",1.0037,0.1048,1.1085,1.1079,1.1068,0.1031,-0.6,-1.7,430,0.43,-1.395348837,-3.953488372,NA,NA,NA,NA,10/14/2003,,,
