"","x"
"1986",NA
"1987",12.4039976628091
"1988",14.1844731195793
"1989",14.0392154930272
"1990",14.3302062849431
"1992",12.0404105743983
"1993",10.8900030432047
"1994",8.83416810225494
"1995",12.8358012702812
"1996",18.1897463289042
"1997",13.250299757299
"1998",18.5130054515162
"1999",15.3170112333958
"2000",12.1235022492954
"2001",12.4199005155588
"2002",11.3292004501645
"2003",15.2478099075415
"2004",16.7704803951682
"2005",15.8429663121549
"2006",13.6363277205479
"2007",10.0109559294016
"2008",10.2819291376186
"2009",9.4021987988413
"2010",17.1057771939044
"2011",20.9156585478472
"2012",21.3869196085955
"2013",20.0912798697649
"2014",12.4465732416711
